Tucson_ID,Site,Species,Aspect,Plot,Tree_number,Core,Elevation_m,Label_on_Straw,Day,Month,Year,GPS_point,Easting,Northing,DBH,Height,Percent_dead,Notes
PLS0101A,SEKI,PILA,S,1,1,A,1393,SEKI S facing 1393m Tree 1 9/2/21 PILA,2,9,2021,137,,,125.2,43.5,8,cored close to pith; cones; beautiful; just across from park entry sign
PLS0102A,SEKI,PILA,S,1,2,A,1393,SEKI S facing 1393m Tree 2 9/2/21 PILA,2,9,2021,139,,,126.1,43.3,12,cored to rot; growing around rocks; scraggly top
PLS0103A,SEKI,PILA,S,1,3,Not_cored,1393,Not_cored,2,9,2021,138,,,6.4,3.4,4,Not cored too small
PLS0104A,SEKI,PILA,S,1,4,Not_cored,1393,Not_cored,2,9,2021,141,,,86.3,37.8,13,Not cored--WPBR (DTOP and flags)
PLS0105A,SEKI,PILA,S,1,5,A,1393,SEKI S facing 1393m Tree 5 9/2/21 PILA,2,9,2021,140,,,25.5,13.4,7,1 flag
PLS0106A,SEKI,PILA,S,1,6,A,1393,SEKI S facing 1393m Tree 6 PILA (possible WPBR) 9/2/21 ,2,9,2021,142,,,30.8,12.8,5,lots of dead branches down low
PLS0107A,SEKI,PILA,S,1,7,Not_cored,1393,Not_cored,2,9,2021,143,,,6.4,3.1,2,Not cored--too small; 1 flag and 1 swollen branch
PLS0108A,SEKI,PILA,S,1,8,Not_cored,1393,Not_cored,2,9,2021,144,,,148.4,55.9,12,Not cored--possible WPBR and rot; dying top; over 3 flags
PLS0109A,SEKI,PILA,S,1,9,A,1393,SEKI S facing 1393m Tree 9,2,9,2021,145,,,33,17.1,,"cored to pith, just below DBH"
PLS0110A,SEKI,PILA,S,1,10,Not_cored,1393,Not_cored,2,9,2021,146,,,96.5,37.3,17,Not cored--lots of dying foliage; cones; probable bole canker
PLS0111A,SEKI,PILA,S,1,11,Not_cored,1393,Not_cored,2,9,2021,147,,,18.4,8,25,"Not cored < 20 DBH; sparse, lots of flags"
PLS0112A,SEKI,PILA,S,1,12,Not_cored,1393,Not_cored,2,9,2021,148,,,19.5,10.2,3,Not cored < 20 DBH
PLS0113A,SEKI,PILA,S,1,13,A,1393,SEKI S facing 1393m Tree 13 9/2/21 PILA,2,9,2021,149,,,28.6,16.6,6,Cored to pith; upslope core due to branches; low fire scar
PLN0201A,SEKI,PILA,N,2,1,A,1494,,31,7,2021,66,,,43.2,9.5,10,Wood borers; needles scortched; fire scare about 7m up the trunk
PLN0201B,SEKI,PILA,N,2,1,B,1494,,31,7,2021,66,,,43.7,9.5,10,cored at 1.2m to the pith
PLN0202A,SEKI,PILA,N,2,2,A,1494,,31,7,2021,67,,,58.6,11.9,10,Fire scar and singed needles
PLN0203A,SEKI,PILA,N,2,3,A,1494,,31,7,2021,68,,,51.1,11.8,5,Fire scar about 2m; no singled needles
PLN0204A,SEKI,PILA,N,2,4,A,1494,,31,7,2021,69,,,98.7,17.5,4,Not cored--trunk severely burned; fire scar pitching; D. valens
PLN0205A,SEKI,PILA,N,2,5,A,1494,,31,7,2021,70,,,116.4,19,3,cored to rot; fire scar (about 6m) and pitching; webs and insect holes
PLN0206A,SEKI,PILA,N,2,6,A,1494,,31,7,2021,71,,,104.2,16,3,"Low fire scar (about 2m), pitching. Gushed a couple liters of water and sap when cored. "
PLN0207A,SEKI,PILA,N,2,7,A,1494,,31,7,2021,72,,,87.2,19,5,Fire scar (about 6m); on trail; about 14m from river
PLN0208A,SEKI,PILA,N,2,8,A,1494,,31,7,2021,73,,,118.3,21,5,About 12m from river; 3 m from trail; Very deep fire scar
PLN0209A,SEKI,PILA,N,2,9,A,1494,,31,7,2021,74,,,24.3,5.5,3,"Shaded by ABCO and rock, a bit suppressed"
PLN0210A,SEKI,PILA,N,2,10,A,1494,SK P02 (N face) T10 PILA,31,7,2021,75,,,69,,3,
PLN0211A,SEKI,PILA,N,2,11,A,1494,,31,7,2021,76,,,120,20,15,"Not cored--dead flagging, over 10% dead"
PLN0212A,SEKI,PILA,N,2,12,A,1494,,31,7,2021,77,,,82.6,15,4,"Not cored--close to #69, bole canker"
PLS0201A,SEKI,PILA,S,2,1,A,1549,SEKI CC(S facing) Plot 2 Tree 1 Part 1 of core and SEKI CC Plot 2 Tree 1 Part 2 of core,28,8,2021,79,,,108.5,54,5,5m to creek; did not hit pitch on core A (part 1 or 2) or B.
PLS0201B,SEKI,PILA,S,2,1,B,1549,SEKI CC plot 2 (S facing) Tree 1 Core B,28,8,2021,79,,,108.5,54,5,5m to creek; did not hit pitch on core A (part 1 or 2) or B.
PLS0202A,SEKI,PILA,S,2,2,A (need to change from B to A),1549,SEKICC2 Tree 2 Core B,28,8,2021,80,,,133.6,44.4,3,7m to creek; cones; very big--didn't get to pith; suppressed
PLS0202B,SEKI,PILA,S,2,2,B (need to change from C to B),1549,SEKI CC2 Tree 2 Core C,28,8,2021,80,,,131.5,44.4,3,7m to creek; cones; very big--didn't get to pith; suppressed
PLS0203A,SEKI,PILA,S,2,3,A,1549,missing or already mounted,28,8,2021,81,,,35.8,15.6,10,Fire scar (about 3m high) on side closest to trees 1 and 2; 5m to creek;
PLS0204A,SEKI,PILA,S,2,4,A,1549,SEKI CC2 Tree 4 Core A,28,8,2021,82,,,125.8,48.9,5,Cones; 7.2m fire scar
PLS0204B,SEKI,PILA,S,2,4,B,1549,SEKI CC2 Tree 4 Core B,28,8,2021,82,,,125.8,48.9,5,Cones; 7.2m fire scar; cored to pith
PLS0205A,SEKI,PILA,S,2,5,A,1549,SEKI CC2 Tree 5 Core A,28,8,2021,83,,,96.9,44.1,4,"Cones; 5m to river; hit scar, resistance increased then hit pith/near pith after scar/break"
PLS0206A,SEKI,PILA,S,2,6,A,1549,SEKI CC2 Tree 6,28,8,2021,84,,,105.8,44.6,3,"Not quite centered, but near pith; 5m to river; GPS 14 ft adjusted; upslope core"
PLS0207A,SEKI,PILA,S,2,7,A,1549,SEKI CC2 Tree 7,28,8,2021,85,,,96.1,48.5,5,Cored to pith; 9.1m fire scar; about 15m to river
PLS0208A,SEKI,PILA,S,2,8,A,1549,missing or already mounted,28,8,2021,86,,,39,25.1,3,Cored to pith; 10m to Hwy 180; mechanical wound on bole
PLS0209A,SEKI,PILA,S,2,9,A,1549,missing or already mounted,28,8,2021,87,,,48,26.6,4,near pith--end broke off
